Step,Linkage,DimoAve,DimoSTD
50,0.5113831,86.51163,0.95500743
100,0.4937297,86.71053,0.95963025
150,0.47010297,86.099396,0.96129435
200,0.45893264,86.27833,0.958547
250,0.4686797,85.428505,0.96334755
300,0.45603922,84.064125,0.9686144
350,0.45638457,83.958916,0.97403705
400,0.45041227,84.12082,0.9726184
450,0.3749422,83.85796,0.97278374
500,0.38679597,83.13796,0.97566426
550,0.36760616,82.2554,0.97600985
600,0.39238462,82.070786,0.98015165
650,0.31576037,82.824486,0.9829629
700,0.27502233,83.44823,0.9734833
750,0.23784235,83.09351,0.969743
800,0.2767637,83.81012,0.9688973
850,0.22062728,85.02585,0.967021
900,0.20557927,84.78801,0.9678931
950,0.18996987,86.26166,0.96869445
1000,0.20330523,86.44544,0.97432584
1050,0.14593668,86.46734,0.9704119
1100,0.14882907,87.7563,0.9743369
1150,0.13925146,87.4228,0.96842974
1200,0.17101963,87.6717,0.970326
1250,0.13274422,88.536194,0.9729682
1300,0.13215643,89.189896,0.96762925
1350,0.12557375,90.15362,0.96733403
1400,0.12542392,89.54374,0.9655301
1450,0.13273399,90.56023,0.9724168
1500,0.12776424,92.067924,0.97817934
1550,0.13737679,94.00038,0.97544664
1600,0.13743219,95.56816,0.9671802
1650,0.12390065,97.01108,0.96845865
1700,0.14611432,98.367546,0.97423345
1750,0.1324079,98.96002,0.9778787
1800,0.13667285,100.36552,0.9780693
1850,0.15049513,101.17929,0.9770871
1900,0.12595129,101.750046,0.9726079
1950,0.12743784,101.8973,0.97077
2000,0.12519836,102.902824,0.9652065
2050,0.12944767,102.81591,0.964599
2100,0.12003864,103.84287,0.952462
2150,0.11388598,104.784325,0.95032436
2200,0.10539667,105.79608,0.9484426
2250,0.12444878,106.11413,0.94517493
2300,0.10825598,106.39962,0.93908805
2350,0.13598649,106.3996,0.93908703
2400,0.1101876,106.296936,0.93944484
2450,0.10187166,107.32404,0.9315529
2500,0.12636334,107.56783,0.92714584
2550,0.104240395,107.074875,0.92959905
2600,0.124024116,108.251434,0.927203
2650,0.09920603,109.0927,0.91938263
2700,0.09913037,109.36791,0.91408306
2750,0.092952825,109.388885,0.9093432
2800,0.10624373,109.724915,0.9067173
2850,0.106536806,111.402756,0.90032905
2900,0.07812402,111.81166,0.9026801
2950,0.0919973,112.139694,0.9079747
3000,0.08321814,113.00943,0.9081174
