Step,No Linkage,DimoAve,DimoSTD
50,0.4968992,90.89116,0.9450224
100,0.4725825,89.42137,0.938366
150,0.4766908,90.21761,0.9412445
200,0.48182997,91.17359,0.94135666
250,0.47688872,90.31878,0.94387877
300,0.43948945,88.80903,0.95275253
350,0.4471604,89.379906,0.9657075
400,0.42410982,89.65246,0.9612374
450,0.36325735,89.790535,0.97294235
500,0.36894876,90.65472,0.973467
550,0.34683162,91.20568,0.9963927
600,0.33351913,90.3916,1.0047472
650,0.27179557,92.25985,1.0198593
700,0.24926668,92.26868,1.0336903
750,0.2506896,92.82619,1.0404093
800,0.22216357,93.42077,1.0517057
850,0.18534078,93.715904,1.054744
900,0.18468875,94.21566,1.0552772
950,0.14431976,94.49831,1.0576394
1000,0.07985299,94.72702,1.0593115
1050,0.08830439,95.403244,1.0608833
1100,0.094015986,95.69406,1.0642523
1150,0.0858498,95.9359,1.0652914
1200,0.07324111,96.69177,1.0745516
1250,0.07297882,96.25128,1.0767715
1300,0.077706754,96.661514,1.0803275
1350,0.053403653,97.22412,1.0815817
1400,0.06532532,95.74304,1.0893481
1450,0.054544766,94.459816,1.0910492
1500,0.052950464,93.66368,1.0908355
1550,0.049000137,93.53378,1.0997403
1600,0.041174855,93.62756,1.1088684
1650,0.05166342,92.27476,1.1213142
1700,0.04345235,90.68155,1.1389161
1750,0.05301852,88.70581,1.1494977
1800,0.042701624,87.790794,1.1567836
1850,0.03622068,87.417336,1.160202
1900,0.040547058,87.75899,1.1647313
1950,0.043192413,87.41203,1.171542
2000,0.054968443,86.53459,1.181303
2050,0.055413146,85.70216,1.1873416
2100,0.028433545,85.5245,1.1854085
2150,0.03311063,85.792656,1.1922108
2200,0.02836491,83.490814,1.1978823
2250,0.025912186,83.18252,1.2053723
2300,0.027487805,82.72184,1.2068431
2350,0.027897472,82.26202,1.2083799
2400,0.025641587,83.780525,1.206146
2450,0.024372304,85.79822,1.2138407
2500,0.023956914,85.11446,1.2202764
2550,0.024819976,84.2596,1.2290763
2600,0.021231962,83.42957,1.2284347
2650,0.024582496,82.07752,1.2330987
2700,0.02231197,81.42883,1.2310721
2750,0.02645643,82.40097,1.2307987
2800,0.027342986,82.647606,1.245638
2850,0.023073196,80.8302,1.2487441
2900,0.02605028,80.21421,1.2530241
2950,0.031854123,77.88479,1.2549343
3000,0.02742496,77.26369,1.2547845
